company_name,job_title,salary,workplace
江苏万和系统工程有限公司,Python 讲师,1.2-2万/月,南京-雨花台区
成都安美勤信息技术股份有限公司,Python高级研发工程师,0.6-1.5万/月,成都-高新区
上海国鑫安盈金融信息服务有限公司,资深爬虫开发工程师,1-3万/月,上海-闵行区
上海国羲融资租赁有限公司,资深爬虫开发工程师,1-3万/月,上海-闵行区
成都菲斯特房地产营销策划有限公司,爬虫开发工程师,6-8千/月,成都
南方都市报,爬虫开发工程师,1-1.5万/月,广州-越秀区
中经网数据有限公司,Python后端开发工程师,1-3万/月,北京-西城区
北大医疗信息技术有限公司,Python开发工程师,0.7-1.4万/月,北京-海淀区
深圳市腾讯计算机系统有限公司,18796-后台开发工程师（深圳）,,深圳
深圳市腾讯计算机系统有限公司,26711-汽车业务开发组长（北京）,,北京
深圳市腾讯计算机系统有限公司,26711-后台开发工程师（北京）,,北京
北京华信智原教育技术有限公司福州分公司,人工智能讲师,0.6-1.2万/月,福州-鼓楼区
北京华信智原教育技术有限公司福州分公司,人工智能讲师,0.6-1.2万/月,异地招聘
学慧帮（上海）企业管理咨询有限公司,,200元/天,上海-徐汇区
深圳讯腾软件技术有限公司,(急聘) python爬虫开发工程师,4.5-6千/月,深圳-南山区
上海索思数据科技有限公司,爬虫开发工程师,3-5千/月,上海-徐汇区
深圳华义信息技术有限公司,爬虫开发工程师实习生,5-8千/月,深圳-南山区
上海联创世纪企业管理咨询有限公司,python岗位,3-6千/月,上海-浦东新区
厦门蒙友互联软件有限公司,ASP.NET开发工程师,0.8-1.6万/月,异地招聘
杭州电魂网络科技股份有限公司,大数据开发讲师,0.8-1.5万/月,杭州-滨江区
比亚迪股份有限公司,大数据高级工程师,1-2万/月,深圳
佛山市博纳德信息科技有限公司,数据开发工程师,1-2万/月,广州-天河区
北京北大方正电子有限公司,大数据技术专家J11191,4-5万/月,北京-海淀区
深圳智慧园区信息技术有限公司,人工智能数据工程师（代）,1.5-3万/月,深圳-南山区
成都迈思信息技术有限公司,爬虫工程师（舆情方向）,0.7-1.5万/月,成都
广州寄锦教育科技有限公司,爬虫开发工程师,1-1.5万/月,广州-天河区
深圳市炫彩酷游科技有限公司,Python开发工程师,1-1.5万/月,深圳-南山区
长沙极度信息技术有限公司,,0.7-1.2万/月,长沙-雨花区
苏州闻道网络科技股份有限公司,Python工程师,4-6.5千/月,苏州-工业园区
云南能投物流有限责任公司,Python开发工程师,4.5-6千/月,昆明
南京云蜻蜓信息科技有限公司,爬虫开发工程师,0.8-1.5万/月,南京-建邺区
上海斯睿德信息技术有限公司,Python开发工程师,5-7千/月,上海
深圳市前海锐义金融服务有限公司,爬虫工程师,1.5-2万/月,深圳-福田区
上海翼倍信息科技有限公司,爬虫开发工程师,1-1.5万/月,上海-普陀区
上海九筹投资有限公司,爬虫开发工程师,0.5-2万/月,上海
沈阳尚观云科技有限公司,Python讲师,0.8-1.2万/月,沈阳-和平区
上海全旗金融信息服务有限公司,爬虫工程师,1-2万/月,上海-闵行区
上海斯睿德信息技术有限公司,数据采集工程师,5-7千/月,上海-浦东新区
北京金山安全管理系统技术有限公司,,3-6千/月,北京
卓望信息技术（北京）有限公司,JAVA开发工程师-广州(002397),15-20万/年,广州
卓望控股有限公司,后台开发工程师(002672),25-40万/年,北京-丰台区
浙江智普信用评估有限公司,python开发工程师,0.7-1.4万/月,杭州-余杭区
广州中地会资讯发展有限公司,爬虫开发工程师,0.8-1.5万/月,广州
北京网络职业学院,Python 数据分析/人工智能讲师,1.8-2.5万/月,北京-房山区
长沙阡寻信息科技有限公司,网络爬虫研发工程师,0.8-2万/月,长沙-岳麓区
美团点评,数据产品经理（爬虫）—外卖事业部#3975,2-2.5万/月,北京
浙江诺诺网络科技有限公司,爬虫开发工程师,1-1.8万/月,杭州
北京一天天教育科技有限公司,python助教讲师,1-1.5万/月,上海-浦东新区
北京一天天教育科技有限公司,python讲师,2-2.5万/月,上海-浦东新区
爱客科技（深圳）有限公司,网络爬虫 后台工程师,1-2万/月,深圳-南山区
爱客科技（深圳）有限公司,网络爬虫 高級后台工程师,1.8-3.5万/月,深圳-南山区
黑龙江中软国际信息技术有限公司,Python讲师助理,3-4.5千/月,哈尔滨-南岗区
郑州启凡计算机软件有限公司,Python开发（爬虫）实习助理,4.5-6千/月,郑州-中原区
湖南家边购实业集团有限公司,招爬虫--Python高级开发工程师,1-1.5万/月,长沙-开福区
石家庄明妄信息技术有限公司,python爬虫工程师,3-4.5千/月,石家庄
杭州大搜车汽车服务有限公司,Python研发工程师（爬虫方向）07-01-28,0.9-1.5万/月,杭州-余杭区
北京丰源星际传媒科技有限公司,python爬虫师工程师,1-1.5万/月,北京-西城区
福建滴咚共享科技股份有限公司,AI初级工程师,0.8-1.2万/月,福州
无锡智慧城市建设发展有限公司,大数据开发工程师,0.8-1万/月,无锡
中国电子科技网络信息安全有限公司,高级测试工程师,1-1.6万/月,成都
西安易流物联科技有限公司,大数据开发工程师,1-2万/月,西安-高新技术...
杭州芸品绿信息科技有限公司,后端开发工程师,1.5-3万/月,异地招聘
海南易居旅游地产经纪有限公司,资讯及数据运营经理/主管,6-8千/月,海口
成都哈斯卡科技有限公司,数据分析（挖掘）工程师（经理）,1.5-2.5万/月,成都
苏州思必驰信息科技有限公司,知识图谱高级开发工程师,3-4万/月,北京-海淀区
青岛智能产业技术研究院,数据采集工程师,0.6-1万/月,异地招聘
珀莱雅化妆品股份有限公司,大数据分析（电商）,0.8-1.5万/月,杭州-西湖区
上海卯月科技有限公司,PHP开发工程师,1-1.5万/月,上海-普陀区
天泽信息产业股份有限公司,数据开发工程师,0.6-1.2万/月,南京
青岛幽空互联科技有限公司,区块链技术研究员,0.8-1.5万/月,上海
蜜源（广州）新媒体科技有限公司,资深PHP开发工程师,1.5-2.5万/月,广州-白云区
江苏骏环昇旺科技产业股份有限公司,大数据开发工程师（数据处理方向）,0.8-1万/月,南京-玄武区
江西省博汇九洲金融服务有限公司,Python开发工程师,6-8千/月,南昌-红谷滩新区
深圳市前海合派科技有限公司,python开发工程师,1-2万/月,深圳
飞扬集团,Python开发工程师—新材料促进中心,1-2万/月,深圳
中兴软创科技股份有限公司,Python开发工程师,1-2万/月,南京-江宁区
上海图趣信息科技有限公司（Wayz.ai）,数据爬虫工程师(地理/地图),1.5-3万/月,上海-浦东新区
北京比特大陆科技有限公司,后端及爬虫工程师-深圳-01007,1.5-2.5万/月,深圳-南山区
广州商脉网络科技有限公司（成都分公司）,,0.7-1.2万/月,成都-高新区
上海博为峰软件技术有限公司,爬虫数据信息处理工程师,5-7千/月,杭州-余杭区
广东源恒软件科技有限公司,高级爬虫开发工程师,1.3-1.8万/月,广州
深圳市宏博伟智科技有限公司,爬虫工程师,1-1.8万/月,深圳-龙岗区
广州市骑鹅游信息技术咨询服务有限公司,JAVA爬虫工程师,1-1.5万/月,广州
北京一天天教育科技有限公司,Python 讲师,1500元/天,上海-浦东新区
